zip_code,city,latitude,longitude,total_results
10016,New York,40.747478,-73.98504,27
10016,New York,40.746851,-73.972901,27
10016,New York,40.746565,-73.971591,27
10016,New York,40.743405,-73.974735,27
10016,New York,40.743971,-73.971882,27
10016,New York,40.716079,-74.015929,27
10016,New York,40.747962,-73.976569,27
10016,New York,40.742735,-73.974296,27
10016,New York,40.747299,-73.981039,27
10016,New York,40.74793,-73.974556,27
10016,New York,40.7440113,-73.9741155,27
10016,New York,40.744731,-73.981125,27
10016,New York,40.748359,-73.972213,27
10016,New York,40.745096,-73.971921,27
10016,New York,40.74415,-73.98046,27
10016,New York,40.74538,-73.98571,27
10016,New York,40.74282,-73.97438,27
10016,New York,40.741065,-73.975788,27
10016,New York,40.74437,-73.97561,27
10017,New York,40.753356,-73.971685,7
10017,New York,40.751867,-73.972873,7
10017,New York,40.751847,-73.971348,7
10017,New York,40.753079,-73.968032,7
10017,New York,40.752641,-73.965187,7
10017,New York,40.754709,-73.973391,7
10017,New York,40.7537571,-73.9783437999999,7
10018,New York,40.756892,-73.991771,3
10018,New York,40.750844,-73.986188,3
10018,New York,40.75628,-73.99461,3
10019,New York,40.762234,-73.979036,35
10019,New York,40.762855,-73.977795,35
10019,New York,40.763279,-73.98086,35
10019,New York,40.764261,-73.982974,35
10019,New York,40.762568,-73.982718,35
10019,New York,40.765844,-73.982481,35
10019,New York,40.764748,-73.982676,35
10019,New York,40.762411,-73.984495,35
10019,New York,40.76696,-73.983569,35
10019,New York,40.767879,-73.983656,35
10019,New York,40.766971,-73.987441,35
10019,New York,40.76476,-73.976153,35
10019,New York,40.770709,-73.991725,35
10019,New York,40.77108,-73.993142,35
10019,New York,40.7615893,-73.9752106,35
10019,New York,40.764259,-73.974972,35
10019,New York,40.768432,-73.984033,35
10019,New York,40.764655,-73.9761,35
10019,New York,40.761376,-73.985273,35
10019,New York,40.764609,-73.979517,35
10019,New York,40.768721,-73.983487,35
10019,New York,40.766719,-73.979533,35
10019,New York,40.7616221,-73.9754656,35
10019,New York,40.76324463,-73.98864745,35
10019,New York,40.76709,-73.98733,35
10019,New York,40.76154,-73.98518,35
10019,New York,40.761698,-73.978338,35
10019,New York,40.772839,-73.992493,35
10019,New York,40.768211,-73.989479,35
10019,New York,40.77081,-73.99214,35
10019,New York,40.761376,-73.985273,35
10019,New York,40.76316,-73.98008,35
10019,New York,40.76458,-73.98504,35
10019,New York,40.76293,-73.98729,35
10019,New York,40.76282,-73.97725,35
10021,Brooklyn,40.702194,-73.98672,28
10021,New York,40.773256,-73.959334,28
10021,New York,40.770601,-73.960531,28
10021,New York,40.765108,-73.963389,28
10021,New York,40.768283,-73.961149,28
10021,New York,40.762678,-73.965447,28
10021,New York,40.785296,-73.947487,28
10021,New York,40.769947,-73.956989,28
10021,New York,40.760098,-73.988828,28
10021,New York,40.77364,-73.963722,28
10021,New York,40.77438,-73.963157,28
10021,New York,40.764617,-73.969764,28
10021,New York,40.766708,-73.955483,28
10021,New York,40.766736,-73.951891,28
10021,New York,40.774207,-73.96282,28
10021,New York,40.770292,-73.967735,28
10021,New York,40.773004,-73.966152,28
10021,New York,40.766554,-73.952905,28
10021,New York,40.765313,-73.955553,28
10021,New York,40.7702,-73.95525,28
10021,New York,40.76894,-73.96047,28
10021,New York,40.77082,-73.96068,28
10021,New York,40.76945,-73.96154,28
10021,New York,40.766545,-73.95292,28
10021,New York,40.77049,-73.96077,28
10021,New York,40.77292688873804,-73.95955810985014,28
10021,New York,40.76957,-73.95589,28
10021,New York,40.76928,-73.95586,28
10022,New York,40.76306,-73.968409,22
10022,New York,40.760648,-73.974193,22
10022,New York,40.759437,-73.96767,22
10022,New York,40.757146,-73.966135,22
10022,New York,40.760462,-73.964086,22
10022,New York,40.759127,-73.964684,22
10022,New York,40.756722,-73.97406,22
10022,New York,40.755363,-73.963841,22
10022,New York,40.755289,-73.963804,22
10022,New York,40.75552,-73.962734,22
10022,New York,40.758519,-73.961272,22
10022,New York,40.756766,-73.967481,22
10022,New York,40.757223,-73.963011,22
10022,New York,40.7613979,-73.9746128,22
10022,New York,40.754022,-73.965166,22
10022,New York,40.762254,-73.970024,22
10022,New York,40.7565187377,-73.9610743999,22
10022,New York,40.75657,-73.96226,22
10022,New York,40.75267,-73.96482,22
10022,New York,40.759299,-73.968603,22
10022,New York,40.760378,-73.971062,22
10022,New York,40.760403,-73.97105,22
10023,New York,40.780976,-73.980414,22
10023,New York,40.772742,-73.979503,22
10023,New York,40.775065,-73.988572,22
10023,New York,40.77592,-73.98313,22
10023,New York,40.776813,-73.977083,22
10023,New York,40.771555,-73.986428,22
10023,New York,40.772574,-73.981951,22
10023,New York,40.775283,-73.981627,22
10023,New York,40.781547,-73.980475,22
10023,New York,40.780027,-73.982823,22
10023,New York,40.770772,-73.981795,22
10023,New York,40.771626,-73.981032,22
10023,New York,40.778221,-73.985072,22
10023,New York,40.77493,-73.980969,22
10023,New York,40.78131,-73.980834,22
10023,New York,40.780397,-73.977729,22
10023,New York,40.781104,-73.984478,22
10023,New York,40.78126,-73.98044,22
10023,New York,40.7708,-73.98323,22
10023,New York,40.776152,-73.98282,22
10023,New York,40.777905,-73.982299,22
10023,New York,40.77349758816229,-73.98137367362845,22
10024,New York,40.775474,-73.989763,10
10024,New York,40.788614,-73.97118,10
10024,New York,40.788008,-73.971611,10
10024,New York,40.779338,-73.987493,10
10024,New York,40.786099,-73.977303,10
10024,New York,40.78411,-73.980641,10
10024,New York,40.784831,-73.982085,10
10024,New York,40.794519,-73.963445,10
10024,Manhattan,40.790046,-73.972531,10
10024,Manhattan,40.786312,-73.97569,10
10025,New York,40.793158,-73.970319,22
10025,New York,40.797359,-73.968718,22
10025,New York,40.798108,-73.968204,22
10025,New York,40.76332,-73.962938,22
10025,New York,40.795624,-73.971961,22
10025,New York,40.797743,-73.960441,22
10025,New York,40.721437,-74.001238,22
10025,New York,40.80443,-73.961373,22
10025,New York,40.802151,-73.961705,22
10025,New York,40.803963,-73.966032,22
10025,New York,40.793877,-73.967498,22
10025,New York,40.776574,-73.96047,22
10025,New York,40.797771,-73.96142,22
10025,New York,40.803934,-73.966049,22
10025,New York,40.795783,-73.973678,22
10025,New York,40.807356,-73.954354,22
10025,New York,40.793416,-73.967719,22
10025,New York,40.789958,-73.966488,22
10025,New York,40.79743,-73.9687,22
10025,New York,40.79766,-73.96838,22
10025,New York,40.79766,-73.96838,22
10025,New York,40.79743,-73.9687,22
10026,New York,40.80155,-73.948499,1
10027,New York,40.811187,-73.963571,2
10027,New York,40.811446,-73.960477,2
10028,New York,40.782031,-73.959484,23
10028,New York,40.779211,-73.960949,23
10028,New York,40.774511,-73.952039,23
10028,New York,40.775123,-73.951193,23
10028,New York,40.779876,-73.958579,23
10028,New York,40.775968,-73.947846,23
10028,New York,40.783085,-73.956304,23
10028,New York,40.772712,-73.947045,23
10028,New York,40.772681,-73.945488,23
10028,Manhattan,40.7759529,-73.949738,23
10028,Manhattan,40.777924,-73.957245,23
10028,New York,40.77599,-73.95044,23
10028,New York,40.773472,-73.955287,23
10028,New York,40.777737,-73.957413,23
10028,New York,40.78147,-73.95986,23
10028,New York,40.77447,-73.94599,23
10028,New York,40.772,-73.94639,23
10028,Manhattan,40.777932,-73.957152,23
10028,New York,40.77798,-73.95555,23
10028,New York,40.77533,-73.95108,23
10028,New York,40.77901,-73.96079,23
10028,New York,40.77968,-73.95657,23
10028,New York,40.77866,-73.95739,23
10029,New York,40.79136,-73.952155,4
10029,New York,40.787402,-73.950546,4
10029,New York,40.791267,-73.952039,4
10029,New York,40.786732,-73.950411,4
10030,New York,40.816777,-73.947435,1
10032,New York,40.839756,-73.943345,2
10032,New York,40.83597,-73.94133,2
10033,Manhattan,40.836588,-73.941328,7
10033,Manhattan,40.852461,-73.934084,7
10033,Manhattan,40.848358,-73.931743,7
10033,Washington Heights,40.847422,-73.937922,7
10033,New York,40.848202,-73.935857,7
10033,New York,40.847563,-73.934481,7
10033,New York,40.847958,-73.935109,7
10035,New York,40.800793,-73.9371,4
10035,New York,40.792194,-73.92455,4
10035,New York,40.7923,-73.92468,4
